RecordOrder,Survey,Breakdown Variable,Indicator,Measure,Unit,Value
554,Mozambique - 2002-2003,Country-level,Protein consumption,Standard Deviation,g/capita/day,142.01
555,Mozambique - 2002-2003,Country-level,Protein consumption,Number Observations,g/capita/day,8700
556,Mozambique - 2002-2003,Country-level,Share of dietary energy consumption from protein,Mean,%,11.71
557,Mozambique - 2002-2003,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,5.61
558,Mozambique - 2002-2003,Country-level,Share of dietary energy consumption from protein,Number Observations,%,8700
559,Mozambique - 2002-2003,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,31.85
560,Mozambique - 2002-2003,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,23.52
561,Mozambique - 2002-2003,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,2352
562,Mozambique - 2002-2003,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,12.21
563,Mozambique - 2002-2003,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,7.67
564,Mozambique - 2002-2003,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,2352
565,Mozambique - 2002-2003,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,55.95
566,Mozambique - 2002-2003,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,195.61
567,Mozambique - 2002-2003,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,2667
568,Mozambique - 2002-2003,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,11.38
569,Mozambique - 2002-2003,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,4.09
570,Mozambique - 2002-2003,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,2667
571,Mozambique - 2002-2003,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,71.72
572,Mozambique - 2002-2003,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,153.27
573,Mozambique - 2002-2003,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,3681
574,Mozambique - 2002-2003,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,11.47
575,Mozambique - 2002-2003,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,3.63
576,Mozambique - 2002-2003,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,3681
577,Nepal - 1995-1996,Country-level,Protein consumption,Mean,g/capita/day,50.51
578,Nepal - 1995-1996,Country-level,Protein consumption,Standard Deviation,g/capita/day,23.25
579,Nepal - 1995-1996,Country-level,Protein consumption,Number Observations,g/capita/day,3373
580,Nepal - 1995-1996,Country-level,Share of dietary energy consumption from protein,Mean,%,9.07
581,Nepal - 1995-1996,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,1.51
582,Nepal - 1995-1996,Country-level,Share of dietary energy consumption from protein,Number Observations,%,3373
583,Nepal - 1995-1996,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,37.08
584,Nepal - 1995-1996,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,12.24
585,Nepal - 1995-1996,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,988
586,Nepal - 1995-1996,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,8.9
587,Nepal - 1995-1996,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.57
588,Nepal - 1995-1996,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,988
589,Nepal - 1995-1996,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,51.88
590,Nepal - 1995-1996,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,16.22
591,Nepal - 1995-1996,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,984
592,Nepal - 1995-1996,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,9.03
593,Nepal - 1995-1996,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.41
594,Nepal - 1995-1996,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,984
595,Nepal - 1995-1996,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,66.96
596,Nepal - 1995-1996,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,29.65
597,Nepal - 1995-1996,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,1401
598,Nepal - 1995-1996,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,9.34
599,Nepal - 1995-1996,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.48
600,Nepal - 1995-1996,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,1401
601,Niger - 2007-2008,Country-level,Protein consumption,Mean,g/capita/day,56.73
602,Niger - 2007-2008,Country-level,Protein consumption,Standard Deviation,g/capita/day,21.77
603,Niger - 2007-2008,Country-level,Protein consumption,Number Observations,g/capita/day,4000
604,Niger - 2007-2008,Country-level,Share of dietary energy consumption from protein,Mean,%,11.67
605,Niger - 2007-2008,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,1.54
606,Niger - 2007-2008,Country-level,Share of dietary energy consumption from protein,Number Observations,%,4000
607,Niger - 2007-2008,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,51.75
608,Niger - 2007-2008,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,16.09
609,Niger - 2007-2008,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,1131
610,Niger - 2007-2008,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,11.7
611,Niger - 2007-2008,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.05
612,Niger - 2007-2008,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,1131
613,Niger - 2007-2008,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,59.72
614,Niger - 2007-2008,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,21.09
615,Niger - 2007-2008,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,1251
616,Niger - 2007-2008,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,11.64
617,Niger - 2007-2008,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.45
618,Niger - 2007-2008,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,1251
619,Niger - 2007-2008,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,61.05
620,Niger - 2007-2008,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,27.99
621,Niger - 2007-2008,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,1618
622,Niger - 2007-2008,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,11.64
623,Niger - 2007-2008,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.17
624,Niger - 2007-2008,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,1618
625,Pakistan - 2005-2006,Country-level,Protein consumption,Mean,g/capita/day,59.67
626,Pakistan - 2005-2006,Country-level,Protein consumption,Standard Deviation,g/capita/day,19.97
627,Pakistan - 2005-2006,Country-level,Protein consumption,Number Observations,g/capita/day,15439
628,Pakistan - 2005-2006,Country-level,Share of dietary energy consumption from protein,Mean,%,12.26
629,Pakistan - 2005-2006,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,1.19
630,Pakistan - 2005-2006,Country-level,Share of dietary energy consumption from protein,Number Observations,%,15439
631,Pakistan - 2005-2006,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,52.29
632,Pakistan - 2005-2006,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,15.12
633,Pakistan - 2005-2006,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,5325
634,Pakistan - 2005-2006,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,12.38
635,Pakistan - 2005-2006,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.12
636,Pakistan - 2005-2006,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,5325
637,Pakistan - 2005-2006,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,60.58
638,Pakistan - 2005-2006,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,18.25
639,Pakistan - 2005-2006,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,5087
640,Pakistan - 2005-2006,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,12.18
641,Pakistan - 2005-2006,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.15
642,Pakistan - 2005-2006,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,5087
643,Pakistan - 2005-2006,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,69.58
644,Pakistan - 2005-2006,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,23.58
645,Pakistan - 2005-2006,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,5027
646,Pakistan - 2005-2006,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,12.18
647,Pakistan - 2005-2006,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.32
648,Pakistan - 2005-2006,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,5027
649,Panama - 2008,Country-level,Protein consumption,Mean,g/capita/day,83.66
650,Panama - 2008,Country-level,Protein consumption,Standard Deviation,g/capita/day,56.59
651,Panama - 2008,Country-level,Protein consumption,Number Observations,g/capita/day,6996
652,Panama - 2008,Country-level,Share of dietary energy consumption from protein,Mean,%,13.94
653,Panama - 2008,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,3.66
654,Panama - 2008,Country-level,Share of dietary energy consumption from protein,Number Observations,%,6996
655,Panama - 2008,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,52.39
656,Panama - 2008,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,25.43
657,Panama - 2008,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,2762
658,Panama - 2008,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,12.65
659,Panama - 2008,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,3.76
660,Panama - 2008,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,2762
661,Panama - 2008,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,90.38
662,Panama - 2008,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,32.82
663,Panama - 2008,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,2226
664,Panama - 2008,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,14.42
665,Panama - 2008,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.84
666,Panama - 2008,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,2226
667,Panama - 2008,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,134.84
668,Panama - 2008,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,80.32
669,Panama - 2008,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,2008
670,Panama - 2008,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,15.75
671,Panama - 2008,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,3.52
672,Panama - 2008,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,2008
673,Papua New Guinea - 1996,Country-level,Protein consumption,Mean,g/capita/day,47.61
674,Papua New Guinea - 1996,Country-level,Protein consumption,Standard Deviation,g/capita/day,38.75
675,Papua New Guinea - 1996,Country-level,Protein consumption,Number Observations,g/capita/day,1336
676,Papua New Guinea - 1996,Country-level,Share of dietary energy consumption from protein,Mean,%,10.08
677,Papua New Guinea - 1996,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,4.62
678,Papua New Guinea - 1996,Country-level,Share of dietary energy consumption from protein,Number Observations,%,1336
679,Papua New Guinea - 1996,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,25.02
680,Papua New Guinea - 1996,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,14.84
681,Papua New Guinea - 1996,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,367
682,Papua New Guinea - 1996,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,8.45
683,Papua New Guinea - 1996,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,3.54
684,Papua New Guinea - 1996,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,367
685,Papua New Guinea - 1996,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,46.32
686,Papua New Guinea - 1996,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,27.17
687,Papua New Guinea - 1996,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,413
688,Papua New Guinea - 1996,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,10.66
689,Papua New Guinea - 1996,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,4.69
690,Papua New Guinea - 1996,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,413
691,Papua New Guinea - 1996,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,75.41
692,Papua New Guinea - 1996,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,49.67
693,Papua New Guinea - 1996,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,556
694,Papua New Guinea - 1996,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,11.35
695,Papua New Guinea - 1996,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,5.1
696,Papua New Guinea - 1996,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,556
697,Paraguay - 1997-1998,Country-level,Protein consumption,Mean,g/capita/day,84.06
698,Paraguay - 1997-1998,Country-level,Protein consumption,Standard Deviation,g/capita/day,41.17
699,Paraguay - 1997-1998,Country-level,Protein consumption,Number Observations,g/capita/day,4353
700,Paraguay - 1997-1998,Country-level,Share of dietary energy consumption from protein,Mean,%,12.03
701,Paraguay - 1997-1998,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,2.93
702,Paraguay - 1997-1998,Country-level,Share of dietary energy consumption from protein,Number Observations,%,4353
703,Paraguay - 1997-1998,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,61.21
704,Paraguay - 1997-1998,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,23.31
705,Paraguay - 1997-1998,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,1548
706,Paraguay - 1997-1998,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,10.98
707,Paraguay - 1997-1998,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.79
708,Paraguay - 1997-1998,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,1548
709,Paraguay - 1997-1998,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,93.19
710,Paraguay - 1997-1998,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,34.32
711,Paraguay - 1997-1998,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,1428
712,Paraguay - 1997-1998,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,12.31
713,Paraguay - 1997-1998,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.6
714,Paraguay - 1997-1998,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,1428
715,Paraguay - 1997-1998,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,111.44
716,Paraguay - 1997-1998,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,50.53
717,Paraguay - 1997-1998,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,1377
718,Paraguay - 1997-1998,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,13.45
719,Paraguay - 1997-1998,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.86
720,Paraguay - 1997-1998,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,1377
721,Philippines - 2003,Country-level,Protein consumption,Mean,g/capita/day,53.17
722,Philippines - 2003,Country-level,Protein consumption,Standard Deviation,g/capita/day,23.76
723,Philippines - 2003,Country-level,Protein consumption,Number Observations,g/capita/day,42094
724,Philippines - 2003,Country-level,Share of dietary energy consumption from protein,Mean,%,11.04
725,Philippines - 2003,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,1.45
726,Philippines - 2003,Country-level,Share of dietary energy consumption from protein,Number Observations,%,42094
727,Philippines - 2003,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,37.44
728,Philippines - 2003,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,10.6
729,Philippines - 2003,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,15930
730,Philippines - 2003,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,10.17
731,Philippines - 2003,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,0.89
732,Philippines - 2003,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,15930
733,Philippines - 2003,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,52.84
734,Philippines - 2003,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,13.92
735,Philippines - 2003,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,13823
736,Philippines - 2003,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,11.14
737,Philippines - 2003,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.23
738,Philippines - 2003,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,13823
739,Philippines - 2003,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,75.33
740,Philippines - 2003,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,28.02
741,Philippines - 2003,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,12341
742,Philippines - 2003,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,12.14
743,Philippines - 2003,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.51
744,Philippines - 2003,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,12341
745,Republic of Moldova - 2006,Country-level,Protein consumption,Mean,g/capita/day,92.62
746,Republic of Moldova - 2006,Country-level,Protein consumption,Standard Deviation,g/capita/day,47.27
747,Republic of Moldova - 2006,Country-level,Protein consumption,Number Observations,g/capita/day,5748
748,Republic of Moldova - 2006,Country-level,Share of dietary energy consumption from protein,Mean,%,13.81
749,Republic of Moldova - 2006,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,2.57
750,Republic of Moldova - 2006,Country-level,Share of dietary energy consumption from protein,Number Observations,%,5748
751,Republic of Moldova - 2006,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,67.71
752,Republic of Moldova - 2006,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,27.24
753,Republic of Moldova - 2006,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,2007
754,Republic of Moldova - 2006,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,13.43
755,Republic of Moldova - 2006,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.56
756,Republic of Moldova - 2006,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,2007
757,Republic of Moldova - 2006,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,94.12
758,Republic of Moldova - 2006,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,35.96
759,Republic of Moldova - 2006,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,1945
760,Republic of Moldova - 2006,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,13.84
761,Republic of Moldova - 2006,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.47
762,Republic of Moldova - 2006,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,1945
763,Republic of Moldova - 2006,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,125.72
764,Republic of Moldova - 2006,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,58.6
765,Republic of Moldova - 2006,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,1796
766,Republic of Moldova - 2006,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,14.32
767,Republic of Moldova - 2006,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.58
768,Republic of Moldova - 2006,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,1796
769,Sri Lanka - 1999-2000,Country-level,Protein consumption,Mean,g/capita/day,56.42
770,Sri Lanka - 1999-2000,Country-level,Protein consumption,Standard Deviation,g/capita/day,24.14
771,Sri Lanka - 1999-2000,Country-level,Protein consumption,Number Observations,g/capita/day,7483
772,Sri Lanka - 1999-2000,Country-level,Share of dietary energy consumption from protein,Mean,%,10.36
773,Sri Lanka - 1999-2000,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,1.88
774,Sri Lanka - 1999-2000,Country-level,Share of dietary energy consumption from protein,Number Observations,%,7483
775,Sri Lanka - 1999-2000,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,41.82
776,Sri Lanka - 1999-2000,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,12.33
777,Sri Lanka - 1999-2000,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,2228
778,Sri Lanka - 1999-2000,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,9.88
779,Sri Lanka - 1999-2000,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.67
780,Sri Lanka - 1999-2000,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,2228
781,Sri Lanka - 1999-2000,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,57.68
782,Sri Lanka - 1999-2000,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,16.01
783,Sri Lanka - 1999-2000,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,2577
784,Sri Lanka - 1999-2000,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,10.31
785,Sri Lanka - 1999-2000,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.76
786,Sri Lanka - 1999-2000,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,2577
787,Sri Lanka - 1999-2000,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,73.83
788,Sri Lanka - 1999-2000,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,30.61
789,Sri Lanka - 1999-2000,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,2678
790,Sri Lanka - 1999-2000,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,11.03
791,Sri Lanka - 1999-2000,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.06
792,Sri Lanka - 1999-2000,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,2678
793,Sudan (former) - 2009,Country-level,Protein consumption,Mean,g/capita/day,69.37
794,Sudan (former) - 2009,Country-level,Protein consumption,Standard Deviation,g/capita/day,40.04
795,Sudan (former) - 2009,Country-level,Protein consumption,Number Observations,g/capita/day,12824
796,Sudan (former) - 2009,Country-level,Share of dietary energy consumption from protein,Mean,%,12.48
797,Sudan (former) - 2009,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,4.61
798,Sudan (former) - 2009,Country-level,Share of dietary energy consumption from protein,Number Observations,%,12824
799,Sudan (former) - 2009,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,47.28
800,Sudan (former) - 2009,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,23.86
801,Sudan (former) - 2009,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,5063
802,Sudan (former) - 2009,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,12.42
803,Sudan (former) - 2009,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,5.9
804,Sudan (former) - 2009,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,5063
805,Sudan (former) - 2009,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,68.53
806,Sudan (former) - 2009,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,28.24
807,Sudan (former) - 2009,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,4081
808,Sudan (former) - 2009,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,12.4
809,Sudan (former) - 2009,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,3.65
810,Sudan (former) - 2009,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,4081
811,Sudan (former) - 2009,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,101.12
812,Sudan (former) - 2009,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,48.63
813,Sudan (former) - 2009,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,3680
814,Sudan (former) - 2009,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,12.68
815,Sudan (former) - 2009,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,3.53
816,Sudan (former) - 2009,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,3680
817,Tajikistan - 2007,Country-level,Protein consumption,Mean,g/capita/day,69.55
818,Tajikistan - 2007,Country-level,Protein consumption,Standard Deviation,g/capita/day,25.81
819,Tajikistan - 2007,Country-level,Protein consumption,Number Observations,g/capita/day,4643
820,Tajikistan - 2007,Country-level,Share of dietary energy consumption from protein,Mean,%,10.59
821,Tajikistan - 2007,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,1.41
822,Tajikistan - 2007,Country-level,Share of dietary energy consumption from protein,Number Observations,%,4643
823,Tajikistan - 2007,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,52.95
824,Tajikistan - 2007,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,17.02
825,Tajikistan - 2007,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,1396
826,Tajikistan - 2007,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,10.56
