Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
Urban population (% of total),SP.URB.TOTL.IN.ZS,Ghana,GHA,43.954,44.702,45.45,46.198,46.946,47.694,48.3982,49.1024,49.8066,50.5108,51.215,51.8684,52.5218
Urban population (% of total),SP.URB.TOTL.IN.ZS,Greece,GRC,59.736,59.852,59.968,60.084,60.2,60.316,60.4966,60.6772,60.8578,61.0384,61.219,61.4628,61.7066
Urban population (% of total),SP.URB.TOTL.IN.ZS,Greenland,GRL,81.6,81.8516,82.1032,82.3548,82.6064,82.858,83.163,83.468,83.773,84.078,84.383,84.6586,84.9342
Urban population (% of total),SP.URB.TOTL.IN.ZS,Grenada,GRD,35.871,36.15,36.429,36.708,36.987,37.266,37.5754,37.8848,38.1942,38.5036,38.813,39.153,39.493
Urban population (% of total),SP.URB.TOTL.IN.ZS,Guam,GUM,93.103,93.103,93.103,93.103,93.103,93.103,93.1172,93.1314,93.1456,93.1598,93.174,93.2066,93.2392
Urban population (% of total),SP.URB.TOTL.IN.ZS,Guatemala,GTM,45.127,45.536,45.945,46.354,46.763,47.172,47.6032,48.0344,48.4656,48.8968,49.328,49.7824,50.2368
Urban population (% of total),SP.URB.TOTL.IN.ZS,Guinea,GIN,31.023,31.3874,31.7518,32.1162,32.4806,32.845,33.2696,33.6942,34.1188,34.5434,34.968,35.456,35.944
Urban population (% of total),SP.URB.TOTL.IN.ZS,Guinea-Bissau,GNB,35.851,36.5898,37.3286,38.0674,38.8062,39.545,40.28,41.015,41.75,42.485,43.22,43.8974,44.5748
Urban population (% of total),SP.URB.TOTL.IN.ZS,Guyana,GUY,28.694,28.6168,28.5396,28.4624,28.3852,28.308,28.3086,28.3092,28.3098,28.3104,28.311,28.4,28.489
Urban population (% of total),SP.URB.TOTL.IN.ZS,Haiti,HTI,35.6,37.2964,38.9928,40.6892,42.3856,44.082,45.6636,47.2452,48.8268,50.4084,51.99,53.3126,54.6352
Urban population (% of total),SP.URB.TOTL.IN.ZS,Honduras,HND,45.458,46.0962,46.7344,47.3726,48.0108,48.649,49.2346,49.8202,50.4058,50.9914,51.577,52.151,52.725
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Hong Kong SAR, China",HKG,100,100,100,100,100,100,100,100,100,100,100,100,100
Urban population (% of total),SP.URB.TOTL.IN.ZS,Hungary,HUN,64.575,64.933,65.291,65.649,66.007,66.365,66.885,67.405,67.925,68.445,68.965,69.4358,69.9066
Urban population (% of total),SP.URB.TOTL.IN.ZS,Iceland,ISL,92.401,92.5282,92.6554,92.7826,92.9098,93.037,93.1544,93.2718,93.3892,93.5066,93.624,93.7292,93.8344
Urban population (% of total),SP.URB.TOTL.IN.ZS,India,IND,27.667,27.9806,28.2942,28.6078,28.9214,29.235,29.574,29.913,30.252,30.591,30.93,31.295,31.66
Urban population (% of total),SP.URB.TOTL.IN.ZS,Indonesia,IDN,42.002,42.789,43.576,44.363,45.15,45.937,46.7344,47.5318,48.3292,49.1266,49.924,50.6858,51.4476
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Iran, Islamic Rep.",IRN,64.042,64.7452,65.4484,66.1516,66.8548,67.558,67.834,68.11,68.386,68.662,68.938,69.0822,69.2264
Urban population (% of total),SP.URB.TOTL.IN.ZS,Iraq,IRQ,67.83,67.6724,67.5148,67.3572,67.1996,67.042,66.9408,66.8396,66.7384,66.6372,66.536,66.5038,66.4716
Urban population (% of total),SP.URB.TOTL.IN.ZS,Ireland,IRL,59.146,59.4122,59.6784,59.9446,60.2108,60.477,60.7612,61.0454,61.3296,61.6138,61.898,62.205,62.512
Urban population (% of total),SP.URB.TOTL.IN.ZS,Isle of Man,IMY,51.823,51.6972,51.5714,51.4456,51.3198,51.194,51.0736,50.9532,50.8328,50.7124,50.592,50.552,50.512
Urban population (% of total),SP.URB.TOTL.IN.ZS,Israel,ISR,91.203,91.266,91.329,91.392,91.455,91.518,91.579,91.64,91.701,91.762,91.823,91.8836,91.9442
Urban population (% of total),SP.URB.TOTL.IN.ZS,Italy,ITA,67.222,67.2952,67.3684,67.4416,67.5148,67.588,67.7144,67.8408,67.9672,68.0936,68.22,68.4,68.58
Urban population (% of total),SP.URB.TOTL.IN.ZS,Jamaica,JAM,51.814,51.8566,51.8992,51.9418,51.9844,52.027,52.02,52.013,52.006,51.999,51.992,52.074,52.156
Urban population (% of total),SP.URB.TOTL.IN.ZS,Japan,JPN,78.649,80.1148,81.5806,83.0464,84.5122,85.978,86.8906,87.8032,88.7158,89.6284,90.541,91.1352,91.7294
Urban population (% of total),SP.URB.TOTL.IN.ZS,Jordan,JOR,79.808,80.0818,80.3556,80.6294,80.9032,81.177,81.4362,81.6954,81.9546,82.2138,82.473,82.7118,82.9506
Urban population (% of total),SP.URB.TOTL.IN.ZS,Kazakhstan,KAZ,55.729,55.527,55.325,55.123,54.921,54.719,54.5216,54.3242,54.1268,53.9294,53.732,53.6368,53.5416
Urban population (% of total),SP.URB.TOTL.IN.ZS,Kenya,KEN,19.892,20.2486,20.6052,20.9618,21.3184,21.675,22.0542,22.4334,22.8126,23.1918,23.571,23.9842,24.3974
Urban population (% of total),SP.URB.TOTL.IN.ZS,Kiribati,KIR,42.958,43.0766,43.1952,43.3138,43.4324,43.551,43.6022,43.6534,43.7046,43.7558,43.807,43.9366,44.0662
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Korea, Dem. Rep.",PRK,59.412,59.4906,59.5692,59.6478,59.7264,59.805,59.886,59.967,60.048,60.129,60.21,60.342,60.474
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Korea, Rep.",KOR,79.621,79.9658,80.3106,80.6554,81.0002,81.345,81.6626,81.9802,82.2978,82.6154,82.933,83.2008,83.4686
Urban population (% of total),SP.URB.TOTL.IN.ZS,Kosovo,KSV,..,..,..,..,..,..,..,..,..,..,..,..,..
Urban population (% of total),SP.URB.TOTL.IN.ZS,Kuwait,KWT,98.11,98.1234,98.1368,98.1502,98.1636,98.177,98.19,98.203,98.216,98.229,98.242,98.2548,98.2676
Urban population (% of total),SP.URB.TOTL.IN.ZS,Kyrgyz Republic,KGZ,35.298,35.2964,35.2948,35.2932,35.2916,35.29,35.2928,35.2956,35.2984,35.3012,35.304,35.3896,35.4752
Urban population (% of total),SP.URB.TOTL.IN.ZS,Lao PDR,LAO,21.977,23.0588,24.1406,25.2224,26.3042,27.386,28.533,29.68,30.827,31.974,33.121,34.2224,35.3238
Urban population (% of total),SP.URB.TOTL.IN.ZS,Latvia,LVA,68.067,68.0536,68.0402,68.0268,68.0134,68,67.9432,67.8864,67.8296,67.7728,67.716,67.714,67.712
Urban population (% of total),SP.URB.TOTL.IN.ZS,Lebanon,LBN,86,86.114,86.228,86.342,86.456,86.57,86.6832,86.7964,86.9096,87.0228,87.136,87.2478,87.3596
Urban population (% of total),SP.URB.TOTL.IN.ZS,Lesotho,LSO,19.972,20.6328,21.2936,21.9544,22.6152,23.276,23.9902,24.7044,25.4186,26.1328,26.847,27.5738,28.3006
Urban population (% of total),SP.URB.TOTL.IN.ZS,Liberia,LBR,44.331,44.675,45.019,45.363,45.707,46.051,46.401,46.751,47.101,47.451,47.801,48.1822,48.5634
Urban population (% of total),SP.URB.TOTL.IN.ZS,Libya,LBY,76.338,76.4432,76.5484,76.6536,76.7588,76.864,77.0038,77.1436,77.2834,77.4232,77.563,77.735,77.907
Urban population (% of total),SP.URB.TOTL.IN.ZS,Liechtenstein,LIE,15.13,15.0502,14.9704,14.8906,14.8108,14.731,14.6744,14.6178,14.5612,14.5046,14.448,14.4142,14.3804
Urban population (% of total),SP.URB.TOTL.IN.ZS,Lithuania,LTU,66.986,66.9158,66.8456,66.7754,66.7052,66.635,66.7082,66.7814,66.8546,66.9278,67.001,67.1152,67.2294
Urban population (% of total),SP.URB.TOTL.IN.ZS,Luxembourg,LUX,83.752,83.7872,83.8224,83.8576,83.8928,83.928,84.1796,84.4312,84.6828,84.9344,85.186,85.4134,85.6408
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Macao SAR, China",MAC,100,100,100,100,100,100,100,100,100,100,100,100,100
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Macedonia, FYR",MKD,59.361,59.2998,59.2386,59.1774,59.1162,59.055,59.0818,59.1086,59.1354,59.1622,59.189,59.3156,59.4422
Urban population (% of total),SP.URB.TOTL.IN.ZS,Madagascar,MDG,27.121,27.4596,27.7982,28.1368,28.4754,28.814,29.4372,30.0604,30.6836,31.3068,31.93,32.5684,33.2068
Urban population (% of total),SP.URB.TOTL.IN.ZS,Malawi,MWI,14.61,14.6988,14.7876,14.8764,14.9652,15.054,15.1518,15.2496,15.3474,15.4452,15.543,15.6956,15.8482
Urban population (% of total),SP.URB.TOTL.IN.ZS,Malaysia,MYS,61.977,63.0966,64.2162,65.3358,66.4554,67.575,68.4612,69.3474,70.2336,71.1198,72.006,72.684,73.362
Urban population (% of total),SP.URB.TOTL.IN.ZS,Maldives,MDV,27.706,28.9148,30.1236,31.3324,32.5412,33.75,34.9988,36.2476,37.4964,38.7452,39.994,41.1136,42.2332
Urban population (% of total),SP.URB.TOTL.IN.ZS,Mali,MLI,28.078,28.6812,29.2844,29.8876,30.4908,31.094,31.7306,32.3672,33.0038,33.6404,34.277,34.9258,35.5746
Urban population (% of total),SP.URB.TOTL.IN.ZS,Malta,MLT,92.368,92.6234,92.8788,93.1342,93.3896,93.645,93.8502,94.0554,94.2606,94.4658,94.671,94.8232,94.9754
Urban population (% of total),SP.URB.TOTL.IN.ZS,Marshall Islands,MHL,68.361,68.6812,69.0014,69.3216,69.6418,69.962,70.276,70.59,70.904,71.218,71.532,71.839,72.146
Urban population (% of total),SP.URB.TOTL.IN.ZS,Mauritania,MRT,39.989,40.0618,40.1346,40.2074,40.2802,40.353,40.5284,40.7038,40.8792,41.0546,41.23,41.51,41.79
Urban population (% of total),SP.URB.TOTL.IN.ZS,Mauritius,MUS,42.67,42.572,42.474,42.376,42.278,42.18,42.0998,42.0196,41.9394,41.8592,41.779,41.7974,41.8158
Urban population (% of total),SP.URB.TOTL.IN.ZS,Mexico,MEX,74.722,75.0392,75.3564,75.6736,75.9908,76.308,76.6114,76.9148,77.2182,77.5216,77.825,78.1058,78.3866
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Micronesia, Fed. Sts.",FSM,22.33,22.33,22.33,22.33,22.33,22.33,22.3668,22.4036,22.4404,22.4772,22.514,22.6132,22.7124
Urban population (% of total),SP.URB.TOTL.IN.ZS,Moldova,MDA,44.589,44.3038,44.0186,43.7334,43.4482,43.163,43.9176,44.6722,45.4268,46.1814,46.936,47.6556,48.3752
Urban population (% of total),SP.URB.TOTL.IN.ZS,Monaco,MCO,100,100,100,100,100,100,100,100,100,100,100,100,100
Urban population (% of total),SP.URB.TOTL.IN.ZS,Mongolia,MNG,57.133,58.2052,59.2774,60.3496,61.4218,62.494,63.5086,64.5232,65.5378,66.5524,67.567,68.4582,69.3494
Urban population (% of total),SP.URB.TOTL.IN.ZS,Montenegro,MNE,58.544,59.2752,60.0064,60.7376,61.4688,62.2,62.3792,62.5584,62.7376,62.9168,63.096,63.2886,63.4812
Urban population (% of total),SP.URB.TOTL.IN.ZS,Morocco,MAR,53.335,53.662,53.989,54.316,54.643,54.97,55.3112,55.6524,55.9936,56.3348,56.676,57.041,57.406
Urban population (% of total),SP.URB.TOTL.IN.ZS,Mozambique,MOZ,29.098,29.2782,29.4584,29.6386,29.8188,29.999,30.1908,30.3826,30.5744,30.7662,30.958,31.2156,31.4732
Urban population (% of total),SP.URB.TOTL.IN.ZS,Myanmar,MMR,27.215,27.649,28.083,28.517,28.951,29.385,29.9246,30.4642,31.0038,31.5434,32.083,32.6524,33.2218
Urban population (% of total),SP.URB.TOTL.IN.ZS,Namibia,NAM,32.373,32.907,33.441,33.975,34.509,35.043,35.598,36.153,36.708,37.263,37.818,38.3908,38.9636
Urban population (% of total),SP.URB.TOTL.IN.ZS,Nepal,NPL,13.431,13.7676,14.1042,14.4408,14.7774,15.114,15.4224,15.7308,16.0392,16.3476,16.656,16.9958,17.3356
Urban population (% of total),SP.URB.TOTL.IN.ZS,Netherlands,NLD,76.799,77.4736,78.1482,78.8228,79.4974,80.172,80.687,81.202,81.717,82.232,82.747,83.132,83.517
Urban population (% of total),SP.URB.TOTL.IN.ZS,New Caledonia,NCL,61.78,62.0592,62.3384,62.6176,62.8968,63.176,62.9206,62.6652,62.4098,62.1544,61.899,61.7552,61.6114
Urban population (% of total),SP.URB.TOTL.IN.ZS,New Zealand,NZL,85.677,85.752,85.827,85.902,85.977,86.052,86.0804,86.1088,86.1372,86.1656,86.194,86.24,86.286
Urban population (% of total),SP.URB.TOTL.IN.ZS,Nicaragua,NIC,54.737,54.9762,55.2154,55.4546,55.6938,55.933,56.1968,56.4606,56.7244,56.9882,57.252,57.5564,57.8608
Urban population (% of total),SP.URB.TOTL.IN.ZS,Niger,NER,16.186,16.2952,16.4044,16.5136,16.6228,16.732,16.9088,17.0856,17.2624,17.4392,17.616,17.8684,18.1208
Urban population (% of total),SP.URB.TOTL.IN.ZS,Nigeria,NGA,42.351,43.0308,43.7106,44.3904,45.0702,45.75,46.4002,47.0504,47.7006,48.3508,49.001,49.6152,50.2294
Urban population (% of total),SP.URB.TOTL.IN.ZS,Northern Mariana Islands,MNP,90.162,90.2834,90.4048,90.5262,90.6476,90.769,90.8846,91.0002,91.1158,91.2314,91.347,91.4574,91.5678
Urban population (% of total),SP.URB.TOTL.IN.ZS,Norway,NOR,76.081,76.3628,76.6446,76.9264,77.2082,77.49,77.8124,78.1348,78.4572,78.7796,79.102,79.374,79.646
Urban population (% of total),SP.URB.TOTL.IN.ZS,Oman,OMN,71.569,71.6366,71.7042,71.7718,71.8394,71.907,72.1632,72.4194,72.6756,72.9318,73.188,73.4404,73.6928
Urban population (% of total),SP.URB.TOTL.IN.ZS,Pakistan,PAK,33.138,33.4066,33.6752,33.9438,34.2124,34.481,34.7612,35.0414,35.3216,35.6018,35.882,36.2156,36.5492
Urban population (% of total),SP.URB.TOTL.IN.ZS,Palau,PLW,69.963,71.5104,73.0578,74.6052,76.1526,77.7,78.8336,79.9672,81.1008,82.2344,83.368,84.1154,84.8628
Urban population (% of total),SP.URB.TOTL.IN.ZS,Panama,PAN,65.787,66.7778,67.7686,68.7594,69.7502,70.741,71.515,72.289,73.063,73.837,74.611,75.1972,75.7834
Urban population (% of total),SP.URB.TOTL.IN.ZS,Papua New Guinea,PNG,13.204,13.0766,12.9492,12.8218,12.6944,12.567,12.54,12.513,12.486,12.459,12.432,12.5022,12.5724
Urban population (% of total),SP.URB.TOTL.IN.ZS,Paraguay,PRY,55.331,55.9578,56.5846,57.2114,57.8382,58.465,59.0468,59.6286,60.2104,60.7922,61.374,61.9048,62.4356
Urban population (% of total),SP.URB.TOTL.IN.ZS,Peru,PER,73.042,73.4404,73.8388,74.2372,74.6356,75.034,75.4094,75.7848,76.1602,76.5356,76.911,77.244,77.577
Urban population (% of total),SP.URB.TOTL.IN.ZS,Philippines,PHL,47.99,47.9986,48.0072,48.0158,48.0244,48.033,48.156,48.279,48.402,48.525,48.648,48.8856,49.1232
Urban population (% of total),SP.URB.TOTL.IN.ZS,Poland,POL,61.716,61.664,61.612,61.56,61.508,61.456,61.3538,61.2516,61.1494,61.0472,60.945,60.8948,60.8446
Urban population (% of total),SP.URB.TOTL.IN.ZS,Portugal,PRT,54.399,55.0342,55.6694,56.3046,56.9398,57.575,58.1612,58.7474,59.3336,59.9198,60.506,61.0416,61.5772
Urban population (% of total),SP.URB.TOTL.IN.ZS,Puerto Rico,PRI,94.647,95.2452,95.8434,96.4416,97.0398,97.638,97.865,98.092,98.319,98.546,98.773,98.8662,98.9594
Urban population (% of total),SP.URB.TOTL.IN.ZS,Qatar,QAT,96.311,96.5386,96.7662,96.9938,97.2214,97.449,97.6902,97.9314,98.1726,98.4138,98.655,98.7728,98.8906
Urban population (% of total),SP.URB.TOTL.IN.ZS,Romania,ROM,53.004,52.9556,52.9072,52.8588,52.8104,52.762,52.768,52.774,52.78,52.786,52.792,52.8208,52.8496
Urban population (% of total),SP.URB.TOTL.IN.ZS,Russian Federation,RUS,73.35,73.266,73.182,73.098,73.014,72.93,73.0744,73.2188,73.3632,73.5076,73.652,73.8244,73.9968
Urban population (% of total),SP.URB.TOTL.IN.ZS,Rwanda,RWA,13.772,14.5254,15.2788,16.0322,16.7856,17.539,17.7932,18.0474,18.3016,18.5558,18.81,19.1192,19.4284
Urban population (% of total),SP.URB.TOTL.IN.ZS,Samoa,WSM,21.977,21.8252,21.6734,21.5216,21.3698,21.218,20.99,20.762,20.534,20.306,20.078,19.8846,19.6912
Urban population (% of total),SP.URB.TOTL.IN.ZS,San Marino,SMR,93.44,93.5558,93.6716,93.7874,93.9032,94.019,94.033,94.047,94.061,94.075,94.089,94.1148,94.1406
Urban population (% of total),SP.URB.TOTL.IN.ZS,Sao Tome and Principe,STP,53.424,54.3438,55.2636,56.1834,57.1032,58.023,58.816,59.609,60.402,61.195,61.988,62.65,63.312
Urban population (% of total),SP.URB.TOTL.IN.ZS,Saudi Arabia,SAU,79.848,80.0742,80.3004,80.5266,80.7528,80.979,81.2,81.421,81.642,81.863,82.084,82.29,82.496
Urban population (% of total),SP.URB.TOTL.IN.ZS,Senegal,SEN,40.345,40.5002,40.6554,40.8106,40.9658,41.121,41.3472,41.5734,41.7996,42.0258,42.252,42.5598,42.8676
Urban population (% of total),SP.URB.TOTL.IN.ZS,Serbia,SRB,52.981,53.2714,53.5618,53.8522,54.1426,54.433,54.753,55.073,55.393,55.713,56.033,56.379,56.725
Urban population (% of total),SP.URB.TOTL.IN.ZS,Seychelles,SYC,50.4,50.641,50.882,51.123,51.364,51.605,51.931,52.257,52.583,52.909,53.235,53.6236,54.0122
Urban population (% of total),SP.URB.TOTL.IN.ZS,Sierra Leone,SLE,35.827,36.1142,36.4014,36.6886,36.9758,37.263,37.5856,37.9082,38.2308,38.5534,38.876,39.2558,39.6356
Urban population (% of total),SP.URB.TOTL.IN.ZS,Singapore,SGP,100,100,100,100,100,100,100,100,100,100,100,100,100
Urban population (% of total),SP.URB.TOTL.IN.ZS,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..,..
Urban population (% of total),SP.URB.TOTL.IN.ZS,Slovak Republic,SVK,56.233,56.099,55.965,55.831,55.697,55.563,55.4172,55.2714,55.1256,54.9798,54.834,54.7814,54.7288
Urban population (% of total),SP.URB.TOTL.IN.ZS,Slovenia,SVN,50.752,50.6954,50.6388,50.5822,50.5256,50.469,50.367,50.265,50.163,50.061,49.959,49.9294,49.8998
Urban population (% of total),SP.URB.TOTL.IN.ZS,Solomon Islands,SLB,15.811,16.211,16.611,17.011,17.411,17.811,18.2498,18.6886,19.1274,19.5662,20.005,20.4602,20.9154
Urban population (% of total),SP.URB.TOTL.IN.ZS,Somalia,SOM,33.247,33.6296,34.0122,34.3948,34.7774,35.16,35.5858,36.0116,36.4374,36.8632,37.289,37.7604,38.2318
Urban population (% of total),SP.URB.TOTL.IN.ZS,South Africa,ZAF,56.891,57.364,57.837,58.31,58.783,59.256,59.714,60.172,60.63,61.088,61.546,61.9868,62.4276
Urban population (% of total),SP.URB.TOTL.IN.ZS,South Sudan,SSD,16.504,16.634,16.764,16.894,17.024,17.154,17.2948,17.4356,17.5764,17.7172,17.858,18.0542,18.2504
Urban population (% of total),SP.URB.TOTL.IN.ZS,Spain,ESP,76.262,76.3498,76.4376,76.5254,76.6132,76.701,76.8176,76.9342,77.0508,77.1674,77.284,77.4286,77.5732
Urban population (% of total),SP.URB.TOTL.IN.ZS,Sri Lanka,LKA,15.709,15.5926,15.4762,15.3598,15.2434,15.127,15.1098,15.0926,15.0754,15.0582,15.041,15.1264,15.2118
Urban population (% of total),SP.URB.TOTL.IN.ZS,St. Kitts and Nevis,KNA,32.778,32.638,32.498,32.358,32.218,32.078,32.0504,32.0228,31.9952,31.9676,31.94,32.0244,32.1088
Urban population (% of total),SP.URB.TOTL.IN.ZS,St. Lucia,LCA,27.957,26.9826,26.0082,25.0338,24.0594,23.085,22.1332,21.1814,20.2296,19.2778,18.326,17.6476,16.9692
Urban population (% of total),SP.URB.TOTL.IN.ZS,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..,..
Urban population (% of total),SP.URB.TOTL.IN.ZS,St. Vincent and the Grenadines,VCT,45.186,45.5534,45.9208,46.2882,46.6556,47.023,47.402,47.781,48.16,48.539,48.918,49.3078,49.6976
Urban population (% of total),SP.URB.TOTL.IN.ZS,Sudan,SDN,32.495,32.548,32.601,32.654,32.707,32.76,32.8248,32.8896,32.9544,33.0192,33.084,33.2352,33.3864
Urban population (% of total),SP.URB.TOTL.IN.ZS,Suriname,SUR,64.85,65.3118,65.7736,66.2354,66.6972,67.159,67.5924,68.0258,68.4592,68.8926,69.326,69.723,70.12
Urban population (% of total),SP.URB.TOTL.IN.ZS,Swaziland,SWZ,22.638,22.4936,22.3492,22.2048,22.0604,21.916,21.796,21.676,21.556,21.436,21.316,21.2808,21.2456
Urban population (% of total),SP.URB.TOTL.IN.ZS,Sweden,SWE,84.026,84.0846,84.1432,84.2018,84.2604,84.319,84.4664,84.6138,84.7612,84.9086,85.056,85.2058,85.3556
Urban population (% of total),SP.URB.TOTL.IN.ZS,Switzerland,CHE,73.322,73.349,73.376,73.403,73.43,73.457,73.4932,73.5294,73.5656,73.6018,73.638,73.7098,73.7816
Urban population (% of total),SP.URB.TOTL.IN.ZS,Syrian Arab Republic,SYR,51.947,52.3142,52.6814,53.0486,53.4158,53.783,54.161,54.539,54.917,55.295,55.673,56.0686,56.4642
Urban population (% of total),SP.URB.TOTL.IN.ZS,Tajikistan,TJK,26.487,26.4754,26.4638,26.4522,26.4406,26.429,26.4432,26.4574,26.4716,26.4858,26.5,26.554,26.608
Urban population (% of total),SP.URB.TOTL.IN.ZS,Tanzania,TZA,22.309,22.6856,23.0622,23.4388,23.8154,24.192,24.6094,25.0268,25.4442,25.8616,26.279,26.7424,27.2058
Urban population (% of total),SP.URB.TOTL.IN.ZS,Thailand,THA,31.143,31.3626,31.5822,31.8018,32.0214,32.241,32.5388,32.8366,33.1344,33.4322,33.73,34.1104,34.4908
Urban population (% of total),SP.URB.TOTL.IN.ZS,Timor-Leste,TMP,24.263,24.6264,24.9898,25.3532,25.7166,26.08,26.456,26.832,27.208,27.584,27.96,28.3446,28.7292
Urban population (% of total),SP.URB.TOTL.IN.ZS,Togo,TGO,32.907,33.3626,33.8182,34.2738,34.7294,35.185,35.6546,36.1242,36.5938,37.0634,37.533,38.02,38.507
Urban population (% of total),SP.URB.TOTL.IN.ZS,Tonga,TON,23.012,23.0406,23.0692,23.0978,23.1264,23.155,23.1976,23.2402,23.2828,23.3254,23.368,23.4662,23.5644
Urban population (% of total),SP.URB.TOTL.IN.ZS,Trinidad and Tobago,TTO,10.833,11.0908,11.3486,11.6064,11.8642,12.122,12.3864,12.6508,12.9152,13.1796,13.444,13.7116,13.9792
Urban population (% of total),SP.URB.TOTL.IN.ZS,Tunisia,TUN,63.432,63.7712,64.1104,64.4496,64.7888,65.128,65.322,65.516,65.71,65.904,66.098,66.3142,66.5304
Urban population (% of total),SP.URB.TOTL.IN.ZS,Turkey,TUR,64.741,65.161,65.581,66.001,66.421,66.841,67.5702,68.2994,69.0286,69.7578,70.487,71.4094,72.3318
Urban population (% of total),SP.URB.TOTL.IN.ZS,Turkmenistan,TKM,45.913,46.14,46.367,46.594,46.821,47.048,47.3204,47.5928,47.8652,48.1376,48.41,48.7416,49.0732
Urban population (% of total),SP.URB.TOTL.IN.ZS,Turks and Caicos Islands,TCA,84.55,85.5712,86.5924,87.6136,88.6348,89.656,90.3764,91.0968,91.8172,92.5376,93.258,93.6658,94.0736
Urban population (% of total),SP.URB.TOTL.IN.ZS,Tuvalu,TUV,46.018,46.4304,46.8428,47.2552,47.6676,48.08,48.4936,48.9072,49.3208,49.7344,50.148,50.5616,50.9752
Urban population (% of total),SP.URB.TOTL.IN.ZS,Uganda,UGA,12.082,12.3152,12.5484,12.7816,13.0148,13.248,13.63,14.012,14.394,14.776,15.158,15.579,16
Urban population (% of total),SP.URB.TOTL.IN.ZS,Ukraine,UKR,67.145,67.274,67.403,67.532,67.661,67.79,67.969,68.148,68.327,68.506,68.685,68.884,69.083
Urban population (% of total),SP.URB.TOTL.IN.ZS,United Arab Emirates,ARE,80.236,80.6412,81.0464,81.4516,81.8568,82.262,82.618,82.974,83.33,83.686,84.042,84.3316,84.6212
Urban population (% of total),SP.URB.TOTL.IN.ZS,United Kingdom,GBR,78.651,78.7222,78.7934,78.8646,78.9358,79.007,79.1072,79.2074,79.3076,79.4078,79.508,79.6356,79.7632
Urban population (% of total),SP.URB.TOTL.IN.ZS,United States,USA,79.089,79.4174,79.7458,80.0742,80.4026,80.731,81.0134,81.2958,81.5782,81.8606,82.143,82.384,82.625
Urban population (% of total),SP.URB.TOTL.IN.ZS,Uruguay,URY,91.325,91.445,91.565,91.685,91.805,91.925,92.0306,92.1362,92.2418,92.3474,92.453,92.544,92.635
Urban population (% of total),SP.URB.TOTL.IN.ZS,Uzbekistan,UZB,37.429,37.2784,37.1278,36.9772,36.8266,36.676,36.5816,36.4872,36.3928,36.2984,36.204,36.248,36.292
Urban population (% of total),SP.URB.TOTL.IN.ZS,Vanuatu,VUT,21.673,21.9582,22.2434,22.5286,22.8138,23.099,23.397,23.695,23.993,24.291,24.589,24.9022,25.2154
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Venezuela, RB",VEN,89.889,90.2934,90.6978,91.1022,91.5066,91.911,92.1916,92.4722,92.7528,93.0334,93.314,93.5048,93.6956
Urban population (% of total),SP.URB.TOTL.IN.ZS,Vietnam,VNM,24.374,24.9554,25.5368,26.1182,26.6996,27.281,27.9034,28.5258,29.1482,29.7706,30.393,31.0356,31.6782
Urban population (% of total),SP.URB.TOTL.IN.ZS,Virgin Islands (U.S.),VIR,92.625,92.9414,93.2578,93.5742,93.8906,94.207,94.4218,94.6366,94.8514,95.0662,95.281,95.426,95.571
Urban population (% of total),SP.URB.TOTL.IN.ZS,West Bank and Gaza,WBG,71.969,72.1874,72.4058,72.6242,72.8426,73.061,73.2754,73.4898,73.7042,73.9186,74.133,74.3516,74.5702
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Yemen, Rep.",YEM,26.267,26.8008,27.3346,27.8684,28.4022,28.936,29.4972,30.0584,30.6196,31.1808,31.742,32.3248,32.9076
Urban population (% of total),SP.URB.TOTL.IN.ZS,Zambia,ZMB,34.802,35.164,35.526,35.888,36.25,36.612,37.0346,37.4572,37.8798,38.3024,38.725,39.1654,39.6058
Urban population (% of total),SP.URB.TOTL.IN.ZS,Zimbabwe,ZWE,33.758,34.1784,34.5988,35.0192,35.4396,35.86,36.314,36.768,37.222,37.676,38.13,38.6206,39.1112
Urban population (% of total),SP.URB.TOTL.IN.ZS,Arab World,ARB,53.0502228241603,53.3651941894979,53.692259661711,54.0282653069322,54.3741119654747,54.7267077394519,55.0883883232693,55.4550191367941,55.8216632302914,56.180771123993,56.5267070863571,56.8650913246049,57.1856625116228
Urban population (% of total),SP.URB.TOTL.IN.ZS,Caribbean small states,CSS,41.5383667452397,41.6896896312149,41.8320160822073,41.9735112400409,42.1119145462168,42.2452151428589,42.3642217288228,42.4780018958151,42.5884569461224,42.6984821064911,42.8102831873119,42.9801496811764,43.150788548111
